
None, None, None, 13:44:31, 10/10/2023, Present
None, None, None, 13:44:31, 10/10/2023, Present
None, None, None, 13:44:31, 10/10/2023, Present
None, None, None, 13:44:31, 10/10/2023, Present
None, None, None, 13:44:31, 10/10/2023, Present
None, None, None, 13:44:31, 10/10/2023, Present
None, None, None, 13:44:32, 10/10/2023, Present
None, None, None, 13:44:32, 10/10/2023, Present
None, None, None, 13:44:32, 10/10/2023, Present
None, None, None, 13:44:32, 10/10/2023, Present
None, None, None, 13:44:32, 10/10/2023, Present
None, None, None, 13:44:32, 10/10/2023, Present
None, None, None, 13:44:33, 10/10/2023, Present
None, None, None, 13:44:33, 10/10/2023, Present
None, None, None, 13:44:33, 10/10/2023, Present
None, None, None, 13:44:33, 10/10/2023, Present
None, None, None, 13:44:33, 10/10/2023, Present
None, None, None, 13:44:33, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:34, 10/10/2023, Present
None, None, None, 13:44:35, 10/10/2023, Present
None, None, None, 13:44:35, 10/10/2023, Present
None, None, None, 13:44:35, 10/10/2023, Present
None, None, None, 13:44:35, 10/10/2023, Present
None, None, None, 13:44:35, 10/10/2023, Present
None, None, None, 13:44:35, 10/10/2023, Present
None, None, None, 13:44:36, 10/10/2023, Present
None, None, None, 13:44:36, 10/10/2023, Present
None, None, None, 13:44:36, 10/10/2023, Present
None, None, None, 13:44:36, 10/10/2023, Present
None, None, None, 13:44:36, 10/10/2023, Present
None, None, None, 13:44:36, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:37, 10/10/2023, Present
None, None, None, 13:44:38, 10/10/2023, Present
None, None, None, 13:44:39, 10/10/2023, Present
None, None, None, 13:44:39, 10/10/2023, Present
None, None, None, 13:44:39, 10/10/2023, Present
None, None, None, 13:44:39, 10/10/2023, Present
None, None, None, 13:44:39, 10/10/2023, Present
None, None, None, 13:44:39, 10/10/2023, Present
None, None, None, 13:44:40, 10/10/2023, Present
None, None, None, 13:44:40, 10/10/2023, Present
None, None, None, 13:44:40, 10/10/2023, Present
None, None, None, 13:44:40, 10/10/2023, Present
None, None, None, 13:44:40, 10/10/2023, Present
None, None, None, 13:44:40, 10/10/2023, Present
None, None, None, 13:44:41, 10/10/2023, Present
None, None, None, 13:44:41, 10/10/2023, Present
None, None, None, 13:44:41, 10/10/2023, Present
None, None, None, 13:44:41, 10/10/2023, Present
None, None, None, 13:44:41, 10/10/2023, Present
